plasmid_0;2+,35-,16-,74+,25+,70+,28+,5+,30+,56-,67-,4+,33+,19-
plasmid_1;20+,51-,15-,41-,25+,70+,28+,59+,9+
plasmid_2;55+,40-,44+,45+,17+,64-,24+,31-,6-,41-,25+,70+,28+,59+,75+,3-,75-
plasmid_3;39-,32-,23-,48-,49-,65-,53-,36+,22-,10+,38+,23-
plasmid_4;36+,22-,18-,31+,80+,73+,42+,69-,12+,38+,34-,48-,50+,65-,52+,36+,58-,69+
plasmid_5;27+
plasmid_6;82+,61+,1-,35-,11-,74+,25+,83+,28+,59+
plasmid_7;41-,25+
plasmid_8;28+
plasmid_9;21+,72-,42+,68-,26-,39+,47+,63+,54+
plasmid_10;40-,43+,45+,62-,73+,42+,68-
plasmid_11;33-,14-,78+,33-,29-,72-,42+,69-
plasmid_12;31+
