,name,num_plasmids_full,num_plasmids_lim,sum_length_full,sum_length_lim,num_contigs_full,num_contigs_lim,num_cds_full,num_cds_lim,lengths_full,lengths_lim,read_depth_full,read_depth_lim,gene_density_full,gene_density_lim,gc_content_full,gc_content_lim
Ent-0269_assembly,Ent-0269_assembly,3,1,17141,11431,4,1,114,19,"[11431, 1817, 3893]",[11431],"[0.567757, 6.143718, 2.68206]",[0.567757],"[0.509929, 0.862411, 0.896224]",[0.498994],"[0.334529, 0.510732, 0.496532]",[0.334529]
Ent-0270_assembly,Ent-0270_assembly,9,7,105099,99400,20,17,204,190,"[2448, 32081, 31723, 16124, 7839, 1833, 7352, 1806, 3893]","[2448, 32081, 16124, 7839, 31723, 1833, 7352]","[0.76552, 1.249244, 1.242498, 0.648571, 0.457816, 0.718527, 0.480721, 3.888688, 2.287132]","[0.76552, 1.249244, 0.648571, 0.457816, 1.242498, 0.718527, 0.480721]","[0.906863, 0.854524, 0.770104, 0.605619, 0.4646, 0.56192, 0.479597, 0.867663, 0.896224]","[0.906863, 0.854524, 0.605619, 0.4646, 0.770104, 0.56192, 0.479597]","[0.341912, 0.364827, 0.368156, 0.331866, 0.31203, 0.345881, 0.320321, 0.511074, 0.496532]","[0.341912, 0.364827, 0.331866, 0.31203, 0.368156, 0.345881, 0.320321]"
Ent-0276_assembly,Ent-0276_assembly,7,6,75604,73491,9,7,146,121,"[6863, 5784, 18256, 28628, 4246, 9714, 2113]","[6863, 5784, 28628, 4246, 9714, 18256]","[0.420395, 0.633275, 0.555474, 0.893008, 0.427791, 0.531088, 1.674327]","[0.420395, 0.633275, 0.893008, 0.427791, 0.531088, 0.555474]","[0.806936, 0.812241, 0.83819, 0.899853, 0.83349, 0.579885, 0.7416]","[0.806936, 0.812241, 0.899853, 0.83349, 0.579885, 0.597831]","[0.321725, 0.325035, 0.38612, 0.364014, 0.35398, 0.337657, 0.478467]","[0.321725, 0.325035, 0.364014, 0.35398, 0.337657, 0.38612]"
Ent-0277_assembly,Ent-0277_assembly,8,7,99658,90775,16,9,164,124,"[8883, 5925, 34567, 2548, 3297, 30156, 7200, 7082]","[2548, 5925, 3297, 34567, 7200, 7082, 30156]","[3.443247, 0.568701, 0.915444, 0.455556, 0.810478, 0.546114, 0.688202, 0.42262]","[0.455556, 0.568701, 0.810478, 0.915444, 0.688202, 0.42262, 0.546114]","[0.577508, 0.811308, 0.899586, 0.605181, 0.780103, 0.511673, 0.572639, 0.499718]","[0.605181, 0.811308, 0.780103, 0.899586, 0.572639, 0.499718, 0.364637]","[0.459867, 0.336034, 0.357306, 0.304553, 0.341219, 0.379526, 0.340556, 0.336346]","[0.304553, 0.336034, 0.341219, 0.357306, 0.340556, 0.336346, 0.379526]"
EntR-0146_assembly,EntR-0146_assembly,4,3,54269,39259,4,3,136,84,"[15231, 11612, 15010, 12416]","[15231, 11612, 12416]","[0.550743, 0.638078, 1.227808, 0.479172]","[0.550743, 0.638078, 0.479172]","[0.910774, 0.816569, 0.813191, 0.689675]","[0.910774, 0.816569, 0.689675]","[0.367409, 0.357561, 0.362159, 0.353495]","[0.367409, 0.357561, 0.353495]"
EntR-0171_assembly,EntR-0171_assembly,5,5,150889,150889,22,22,410,189,"[82229, 5589, 15534, 34832, 12705]","[82229, 5589, 15534, 34832, 12705]","[0.727525, 0.631557, 0.540633, 0.947982, 0.53199]","[0.727525, 0.631557, 0.540633, 0.947982, 0.53199]","[0.646803, 0.786724, 0.755697, 0.70886, 0.521448]","[0.638133, 0.786724, 0.678319, 0.70886, 0.521448]","[0.349183, 0.337091, 0.354384, 0.371612, 0.329713]","[0.349183, 0.337091, 0.354384, 0.371612, 0.329713]"
EntR-0190_assembly,EntR-0190_assembly,5,4,85985,72414,55,43,223,85,"[26325, 4123, 1838, 34270, 19429]","[26325, 4123, 34270, 7696]","[0.687151, 0.770379, 4.966035, 0.978278, 1.267402]","[0.687151, 0.770379, 0.978278, 0.654949]","[0.548946, 0.754063, 0.31284, 0.379895, 0.360183]","[0.494777, 0.754063, 0.379895, 0.369283]","[0.336676, 0.346592, 0.512514, 0.342399, 0.411653]","[0.336676, 0.346592, 0.342399, 0.352261]"
ES-A-FC103-19OCT15-0630A_assembly,ES-A-FC103-19OCT15-0630A_assembly,2,1,34170,29420,5,1,18,15,"[4750, 29420]",[29420],"[8.493486, 0.957872]",[0.957872],"[0.345263, 0.506084]",[0.506084],"[0.504632, 0.363868]",[0.363868]
ES-A-FC107-23FEB16-0797A_assembly,ES-A-FC107-23FEB16-0797A_assembly,5,3,76921,65524,20,14,259,114,"[23727, 36647, 5150, 5698, 5699]","[21012, 36647, 7865]","[1.22877, 0.917071, 0.745528, 5.801178, 1.370993]","[1.114654, 0.91718, 1.227251]","[0.855903, 0.794499, 0.671068, 0.887329, 0.445341]","[0.813392, 0.765793, 0.662174]","[0.340161, 0.323928, 0.298447, 0.501404, 0.347605]","[0.327908, 0.323928, 0.345582]"
ES-A-FC107-23FEB16-0797C_assembly,ES-A-FC107-23FEB16-0797C_assembly,1,0,4719,0,4,0,3,0,[4719],[],[9.641692],[],[0.347531],[],[0.506251],[]
ES-A-FC201-20OCT14-0203C_assembly,ES-A-FC201-20OCT14-0203C_assembly,7,4,75488,65822,31,24,184,68,"[8807, 11161, 21278, 3057, 2951, 24421, 3813]","[11161, 8807, 42903, 2951]","[0.976371, 0.969739, 0.920504, 11.506646, 0.799229, 0.90706, 6.827504]","[0.969739, 0.976371, 0.901863, 0.799229]","[0.825139, 0.826987, 0.791757, 0.525025, 0.58692, 0.477171, 0.915028]","[0.661589, 0.816964, 0.358903, 0.300237]","[0.35574, 0.356778, 0.355532, 0.321884, 0.358184, 0.372548, 0.497509]","[0.356778, 0.35574, 0.365872, 0.358184]"
ES-A-FC208-23FEB16-0800A_assembly,ES-A-FC208-23FEB16-0800A_assembly,5,2,31541,22659,7,2,134,49,"[9079, 13580, 3174, 3893, 1815]","[9079, 13580]","[0.949823, 0.708911, 8.603055, 5.208015, 6.622872]","[0.949823, 0.708911]","[0.888424, 0.862297, 0.573409, 0.896224, 0.863361]","[0.880493, 0.602651]","[0.355986, 0.350957, 0.328607, 0.496275, 0.510193]","[0.355986, 0.350957]"
ES-A-FC303-10AUG15-0566I_assembly,ES-A-FC303-10AUG15-0566I_assembly,2,1,19149,15426,8,4,165,47,"[3723, 15426]",[15426],"[4.547082, 1.177306]",[1.177306],"[0.440505, 0.845974]",[0.805588],"[0.485898, 0.350966]",[0.350966]
ES-A-FC304-08JUN15-0497J_assembly,ES-A-FC304-08JUN15-0497J_assembly,9,4,130141,93642,51,30,395,127,"[48130, 28840, 18086, 16621, 6338, 3229, 1641, 3893, 3363]","[20859, 37605, 28840, 6338]","[1.035354, 0.818505, 0.791209, 0.717684, 0.473636, 5.860082, 9.258794, 4.528092, 0.442836]","[0.792057, 1.116666, 0.818505, 0.470011]","[0.519011, 0.741227, 0.754838, 0.753866, 0.614389, 0.563642, 0.954906, 0.896224, 0.922985]","[0.712115, 0.360431, 0.667094, 0.477438]","[0.361687, 0.339702, 0.348944, 0.340774, 0.30467, 0.329514, 0.527118, 0.497046, 0.49331]","[0.337504, 0.365217, 0.339702, 0.30467]"
ES-A-FC501-20OCT14-0211C_assembly,ES-A-FC501-20OCT14-0211C_assembly,1,0,5939,0,4,0,11,0,[5939],[],[8.387499],[],[0.851322],[],[0.493012],[]
ES-A-FC501-20OCT14-0211K_assembly,ES-A-FC501-20OCT14-0211K_assembly,6,2,71952,30107,14,6,165,41,"[8930, 21177, 5168, 30704, 3893, 2080]","[21177, 8930]","[0.711032, 0.873554, 1.071262, 1.343925, 4.708171, 5.450265]","[0.873554, 0.711032]","[0.745689, 0.453794, 0.67589, 0.520063, 0.896224, 0.753365]","[0.341455, 0.723628]","[0.333931, 0.379421, 0.416022, 0.380797, 0.496789, 0.480288]","[0.379421, 0.333931]"
ES-A-FC504-20OCT14-0213I_assembly,ES-A-FC504-20OCT14-0213I_assembly,9,3,91899,54535,26,11,291,76,"[1519, 6584, 11274, 25723, 18814, 17215, 3003, 4532, 3235]","[9998, 25723, 18814]","[3.706746, 0.622, 0.890239, 0.505442, 0.424244, 0.768387, 2.229076, 1.301514, 0.579592]","[0.8002, 0.505442, 0.424244]","[0.572745, 0.775668, 0.744811, 0.826653, 0.72361, 0.796282, 0.588412, 0.578553, 0.64915]","[0.631726, 0.802822, 0.722122]","[0.498354, 0.35966, 0.393294, 0.354002, 0.337036, 0.36323, 0.320679, 0.425861, 0.381453]","[0.372274, 0.354002, 0.337036]"
ES-A-FC506-20OCT14-0214B_assembly,ES-A-FC506-20OCT14-0214B_assembly,1,0,1790,0,1,0,2,0,[1790],[],[15.430107],[],[0.875419],[],[0.513408],[]
ES-A-FC604-20OCT14-0216B_assembly,ES-A-FC604-20OCT14-0216B_assembly,10,5,112140,69302,51,32,283,92,"[27424, 27253, 4835, 29794, 5449, 3174, 5151, 1804, 3893, 3363]","[19825, 4835, 11203, 28288, 5151]","[0.937444, 0.823791, 0.622188, 0.988725, 1.082947, 2.985411, 4.498966, 12.512059, 6.206394, 0.553316]","[0.826064, 0.608588, 0.932718, 0.906791, 4.498966]","[0.557176, 0.777089, 0.727198, 0.432302, 0.760507, 0.573409, 0.559503, 0.868625, 0.896224, 0.922985]","[0.622547, 0.625853, 0.810854, 0.432975, 0.559503]","[0.347287, 0.343669, 0.316856, 0.362187, 0.368875, 0.328607, 0.369443, 0.512195, 0.496275, 0.492417]","[0.333619, 0.316856, 0.336874, 0.356229, 0.369443]"
ES-A-FC604-20OCT14-0216K_assembly,ES-A-FC604-20OCT14-0216K_assembly,3,1,62312,23139,11,4,191,52,"[4760, 23139, 34413]",[23139],"[12.800884, 1.154216, 1.333146]",[1.154216],"[0.344538, 0.853537, 0.609247]",[0.790656],"[0.49958, 0.351052, 0.376195]",[0.351052]
ES-A-FC606-15DEC15-0736C_assembly,ES-A-FC606-15DEC15-0736C_assembly,4,1,69320,60438,11,6,276,101,"[60438, 3174, 3893, 1815]",[60438],"[0.594343, 6.560723, 5.048389, 6.661797]",[0.594343],"[0.84298, 0.573409, 0.896224, 0.863361]",[0.743373],"[0.333002, 0.328607, 0.496789, 0.510193]",[0.333002]
ES-A-FC606-20OCT14-0217B_assembly,ES-A-FC606-20OCT14-0217B_assembly,8,4,70080,57846,31,25,190,76,"[37288, 6000, 3174, 5151, 1804, 3893, 3363, 9407]","[16479, 26809, 5151, 9407]","[0.852442, 0.860189, 3.41882, 5.020212, 10.751052, 4.398883, 0.51109, 1.032177]","[0.818232, 0.880928, 5.020212, 1.032729]","[0.792856, 0.6755, 0.573409, 0.559503, 0.868625, 0.896224, 0.922985, 0.864356]","[0.598034, 0.445447, 0.559503, 0.856702]","[0.353814, 0.338667, 0.328607, 0.369443, 0.511641, 0.496275, 0.492417, 0.350058]","[0.342254, 0.357529, 0.369443, 0.350058]"
ES-A-FC606-20OCT14-0217I_assembly,ES-A-FC606-20OCT14-0217I_assembly,4,4,76396,69224,27,27,222,118,"[27231, 17480, 29880, 1805]","[10441, 27231, 11920, 19632]","[0.730521, 0.66564, 0.748176, 12.012645]","[0.474735, 0.730521, 0.881885, 1.10115]","[0.874702, 0.75286, 0.493005, 0.868144]","[0.788239, 0.852741, 0.310738, 0.313824]","[0.335537, 0.361499, 0.382229, 0.511911]","[0.334068, 0.335537, 0.375419, 0.385391]"
ES-A-FC606-20OCT14-0217J_assembly,ES-A-FC606-20OCT14-0217J_assembly,5,3,85061,48517,35,21,227,101,"[27433, 17604, 3611, 1805, 34608]","[19420, 27433, 1664]","[0.87172, 0.720666, 10.299858, 2.256773, 0.67929]","[0.461647, 0.87172, 0.991339]","[0.875916, 0.747557, 0.454168, 0.868144, 0.370435]","[0.584295, 0.832683, 0.457933]","[0.335946, 0.361906, 0.496815, 0.511911, 0.358674]","[0.32688, 0.335946, 0.365986]"
ES-C-ST001-01FEB16-0145A_assembly,ES-C-ST001-01FEB16-0145A_assembly,11,6,192084,173415,25,18,425,264,"[25380, 6778, 39008, 56288, 21238, 2848, 5143, 26358, 1795, 3889, 3359]","[25380, 39008, 56288, 21238, 5143, 26358]","[0.497363, 0.532318, 0.96516, 0.800695, 0.675032, 0.670444, 19.068262, 1.258686, 10.640597, 5.052448, 0.659347]","[0.497363, 0.96516, 0.800695, 0.675032, 19.068262, 1.258686]","[0.88684, 0.803334, 0.840007, 0.752896, 0.424663, 0.512289, 0.700953, 0.461568, 0.872981, 0.897146, 0.924085]","[0.884358, 0.840007, 0.740353, 0.424663, 0.700953, 0.461568]","[0.326832, 0.325465, 0.350185, 0.350483, 0.343865, 0.33427, 0.368073, 0.363874, 0.513649, 0.496786, 0.493004]","[0.326832, 0.350185, 0.350483, 0.343865, 0.368073, 0.363874]"
ES-C-ST001-01FEB16-0145B_assembly,ES-C-ST001-01FEB16-0145B_assembly,10,7,160865,116495,65,37,473,258,"[33204, 3956, 15296, 38865, 6838, 30131, 10136, 5191, 15489, 1759]","[28962, 3956, 38798, 14897, 2460, 10136, 17286]","[0.826711, 0.446346, 0.673681, 0.897648, 0.667289, 1.01102, 0.57667, 0.442009, 1.113031, 4.575047]","[1.014767, 0.446346, 0.897605, 0.654422, 1.026259, 0.57667, 0.715131]","[0.505421, 0.71815, 0.550275, 0.879943, 0.796724, 0.835518, 0.74556, 0.517627, 0.541223, 0.32689]","[0.77947, 0.71815, 0.881463, 0.565013, 0.728862, 0.74556, 0.677716]","[0.359354, 0.296764, 0.342639, 0.347614, 0.3327, 0.360924, 0.337806, 0.304951, 0.387436, 0.512791]","[0.3603, 0.296764, 0.347569, 0.340941, 0.39878, 0.337806, 0.339292]"
ES-C-ST001-01FEB16-0145C_assembly,ES-C-ST001-01FEB16-0145C_assembly,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
ES-C-ST001-01FEB16-0145M_assembly,ES-C-ST001-01FEB16-0145M_assembly,3,1,6835,68475,5,6,11,92,"[3359, 1795, 1681]",[68475],"[2.575764, 4.738717, 1.660543]",[1.018358],"[0.924085, 0.872981, 0.785247]",[0.419671],"[0.493004, 0.513649, 0.393813]",[0.368105]
ES-C-ST001-05OCT15-0134I_assembly,ES-C-ST001-05OCT15-0134I_assembly,3,4,110496,121069,19,29,349,232,"[100495, 8206, 1795]","[8257, 63369, 24097, 25346]","[0.680721, 0.541439, 6.233786]","[0.711906, 0.616094, 0.439279, 1.028105]","[0.825902, 0.771387, 0.872981]","[0.518348, 0.816772, 0.561979, 0.763947]","[0.346953, 0.306727, 0.513649]","[0.343951, 0.341665, 0.311325, 0.363292]"
ES-C-ST001-05OCT15-0134J_assembly,ES-C-ST001-05OCT15-0134J_assembly,2,1,5622,71683,3,17,11,151,"[3807, 1815]",[71683],"[4.932748, 7.087238]",[0.597906],"[0.91647, 0.863361]",[0.820976],"[0.49803, 0.510193]",[0.347544]
ES-C-ST001-05OCT15-0134K_assembly,ES-C-ST001-05OCT15-0134K_assembly,5,4,77358,101972,11,19,156,231,"[39492, 2623, 30136, 1748, 3359]","[8354, 39492, 30136, 23990]","[0.657424, 1.549008, 0.443818, 7.905683, 4.738121]","[0.896708, 0.657424, 0.443818, 1.065914]","[0.865973, 0.86199, 0.696277, 0.896453, 0.924085]","[0.54836, 0.865973, 0.696277, 0.822009]","[0.3484, 0.385055, 0.3308, 0.517162, 0.493599]","[0.343428, 0.3484, 0.3308, 0.363735]"
ES-C-ST001-05OCT15-0134M_assembly,ES-C-ST001-05OCT15-0134M_assembly,7,5,102063,96902,25,22,272,180,"[8918, 4269, 31376, 42008, 10331, 3363, 1798]","[8918, 4269, 31376, 10331, 42008]","[1.029257, 0.862359, 0.419399, 1.113869, 0.558563, 3.430946, 3.938804]","[1.029257, 0.862359, 0.419399, 0.558644, 1.113869]","[0.911752, 0.848911, 0.918313, 0.849838, 0.670797, 0.922985, 0.871524]","[0.903678, 0.848911, 0.918313, 0.670797, 0.802204]","[0.349406, 0.34364, 0.36751, 0.370168, 0.307327, 0.492715, 0.512236]","[0.349406, 0.34364, 0.36751, 0.307327, 0.370168]"
ES-C-ST001-07DEC15-0141A_assembly,ES-C-ST001-07DEC15-0141A_assembly,2,0,5158,0,3,0,6,0,"[1795, 3363]",[],"[6.666885, 4.889352]",[],"[0.872981, 0.922985]",[],"[0.513092, 0.492715]",[]
ES-C-ST001-07DEC15-0141B_assembly,ES-C-ST001-07DEC15-0141B_assembly,4,1,91275,56461,10,1,148,119,"[56461, 29109, 3893, 1812]",[56461],"[1.255632, 1.079556, 3.181991, 4.96305]",[1.255632],"[0.855157, 0.308667, 0.896224, 0.86479]",[0.855157],"[0.350933, 0.381635, 0.496789, 0.510486]",[0.350933]
ES-C-ST001-07DEC15-0141C_assembly,ES-C-ST001-07DEC15-0141C_assembly,2,2,79981,58956,19,12,140,63,"[58956, 21025]","[55038, 3918]","[1.019107, 1.099635]","[1.018053, 1.322182]","[0.691007, 0.509822]","[0.521785, 0.540071]","[0.357114, 0.369227]","[0.357698, 0.348903]"
ES-C-ST001-07DEC15-0141D_assembly,ES-C-ST001-07DEC15-0141D_assembly,3,1,86439,75873,17,10,161,97,"[77536, 3173, 5730]",[75873],"[0.693546, 15.53241, 4.190387]",[0.691747],"[0.69796, 0.57359, 0.882373]",[0.625967],"[0.338359, 0.329972, 0.500349]",[0.33788]
ES-C-ST001-07DEC15-0141I_assembly,ES-C-ST001-07DEC15-0141I_assembly,5,3,59081,55285,5,3,100,78,"[36841, 12891, 5553, 2111, 1685]","[36841, 12891, 5553]","[0.71764, 1.442583, 1.033913, 6.883704, 1.18186]","[0.71764, 1.442583, 1.033913]","[0.907304, 0.876891, 0.701783, 0.742302, 0.783383]","[0.907304, 0.708246, 0.701783]","[0.352868, 0.39609, 0.364308, 0.47892, 0.392878]","[0.352868, 0.39609, 0.364308]"
ES-C-ST001-07DEC15-0141K_assembly,ES-C-ST001-07DEC15-0141K_assembly,6,4,102358,96657,10,7,297,175,"[47772, 2460, 2151, 1812, 3889, 44274]","[47772, 2460, 2151, 44274]","[0.922093, 0.694512, 0.60801, 10.742917, 4.661041, 0.69106]","[0.922093, 0.694512, 0.60801, 0.69106]","[0.845851, 0.74065, 0.623431, 0.86479, 0.897146, 0.574378]","[0.845851, 0.612195, 0.539284, 0.572729]","[0.349138, 0.39878, 0.369131, 0.511038, 0.496786, 0.354452]","[0.349138, 0.39878, 0.369131, 0.354452]"
ES-C-ST001-07DEC15-0141L_assembly,ES-C-ST001-07DEC15-0141L_assembly,11,8,179597,167160,42,37,461,289,"[1903, 14158, 6645, 66468, 13924, 6698, 2460, 32212, 7696, 3889, 23544]","[14158, 66468, 13924, 6698, 2460, 32212, 7696, 23544]","[10.938316, 0.717124, 0.660584, 0.755332, 0.655537, 1.177552, 0.844425, 1.120591, 1.216011, 4.205439, 0.927892]","[0.717124, 0.755332, 0.655537, 1.177552, 0.844425, 1.120591, 1.216011, 0.912776]","[0.861797, 0.759429, 0.818661, 0.752482, 0.724648, 0.602419, 0.623577, 0.517447, 0.462448, 0.897146, 0.825093]","[0.688092, 0.752482, 0.724648, 0.602419, 0.620732, 0.517447, 0.462448, 0.817321]","[0.514976, 0.359797, 0.327314, 0.342195, 0.329431, 0.364288, 0.39878, 0.365516, 0.368113, 0.497043, 0.363744]","[0.359797, 0.342195, 0.329431, 0.364288, 0.39878, 0.365516, 0.368113, 0.363744]"
ES-C-ST001-15DEC14-0062A_assembly,ES-C-ST001-15DEC14-0062A_assembly,2,0,5229,0,3,0,6,0,"[3363, 1866]",[],"[2.28682, 2.185327]",[],"[0.922985, 0.839764]",[],"[0.492715, 0.503215]",[]
ES-C-ST001-15DEC14-0062C_assembly,ES-C-ST001-15DEC14-0062C_assembly,2,0,5708,0,3,0,11,0,"[3893, 1815]",[],"[3.020056, 3.942992]",[],"[0.896224, 0.863361]",[],"[0.497046, 0.510193]",[]
ES-C-ST001-15DEC14-0062J_assembly,ES-C-ST001-15DEC14-0062J_assembly,3,2,89301,86786,19,16,280,182,"[2515, 24087, 62699]","[24087, 62699]","[3.436036, 0.696336, 1.525074]","[0.696336, 1.525074]","[0.652087, 0.781791, 0.834814]","[0.689667, 0.834814]","[0.498608, 0.324864, 0.336257]","[0.324864, 0.336257]"
ES-C-ST001-15DEC14-0062K_assembly,ES-C-ST001-15DEC14-0062K_assembly,5,2,109393,89915,17,3,342,203,"[14263, 62699, 27321, 1751, 3359]","[62699, 27216]","[0.733506, 1.112984, 1.068767, 3.187988, 2.096851]","[1.112984, 1.067561]","[0.757695, 0.844033, 0.873614, 0.894917, 0.924085]","[0.844033, 0.863316]","[0.349295, 0.336257, 0.360309, 0.516848, 0.493004]","[0.336257, 0.360486]"
ES-C-ST001-15DEC14-0062L_assembly,ES-C-ST001-15DEC14-0062L_assembly,9,5,135732,120743,19,14,394,232,"[56191, 6792, 17500, 16198, 2460, 2513, 1795, 3889, 28394]","[56191, 17500, 35256, 9336, 2460]","[0.853633, 0.548777, 0.436549, 0.691224, 0.807125, 0.9096, 5.908255, 3.244514, 1.032881]","[0.853633, 0.436549, 0.977286, 0.633125, 0.807125]","[0.682529, 0.801384, 0.780457, 0.791764, 0.638211, 0.514524, 0.872981, 0.897146, 0.706558]","[0.682529, 0.780457, 0.705951, 0.770994, 0.509756]","[0.343596, 0.325677, 0.326114, 0.350105, 0.39878, 0.345404, 0.513649, 0.4973, 0.364514]","[0.343596, 0.326114, 0.362605, 0.346722, 0.39878]"
ES-C-ST001-15DEC14-0062M_assembly,ES-C-ST001-15DEC14-0062M_assembly,12,8,163992,151840,35,30,455,307,"[4783, 38191, 28998, 25279, 20373, 29391, 2460, 5143, 2005, 1795, 3889, 1685]","[35950, 31239, 25279, 20373, 29391, 2460, 5143, 2005]","[0.450753, 0.899884, 1.050655, 0.517771, 0.765916, 1.034813, 0.861346, 11.494408, 0.92006, 5.841995, 3.191291, 1.099763]","[1.047481, 0.892299, 0.517771, 0.765916, 1.034813, 0.861346, 11.494408, 0.92006]","[0.775246, 0.858789, 0.858128, 0.625499, 0.721396, 0.830935, 0.75935, 0.700953, 0.670324, 0.872981, 0.897146, 0.783383]","[0.845619, 0.873331, 0.625499, 0.721396, 0.828451, 0.728862, 0.700953, 0.58005]","[0.306293, 0.345396, 0.357128, 0.333874, 0.333922, 0.364397, 0.39878, 0.367684, 0.368579, 0.513649, 0.4973, 0.392878]","[0.35427, 0.346074, 0.333874, 0.333922, 0.364397, 0.39878, 0.367684, 0.368579]"
ES-C-ST001-15JUN15-0096B_assembly,ES-C-ST001-15JUN15-0096B_assembly,2,0,4383,0,5,0,5,0,"[2514, 1869]",[],"[7.566858, 2.518599]",[],"[0.652347, 0.838416]",[],"[0.486874, 0.503478]",[]
ES-C-ST001-15JUN15-0096J_assembly,ES-C-ST001-15JUN15-0096J_assembly,3,2,79553,77871,17,16,264,98,"[65125, 12746, 1682]","[65125, 12746]","[1.064127, 0.662872, 1.830096]","[1.064127, 0.662872]","[0.773497, 0.785894, 0.78478]","[0.746088, 0.780009]","[0.340115, 0.354229, 0.393579]","[0.340115, 0.354229]"
ES-C-ST001-17FEB15-0065A_assembly,ES-C-ST001-17FEB15-0065A_assembly,6,3,276561,141713,55,38,379,228,"[234826, 6719, 20970, 9905, 2460, 1681]","[113632, 18176, 9905]","[1.085612, 0.625769, 1.171292, 0.607586, 0.972582, 1.956519]","[1.067817, 1.082244, 0.607586]","[0.4136, 0.810388, 0.653457, 0.669662, 0.508537, 0.785247]","[0.714086, 0.721446, 0.662292]","[0.361497, 0.325346, 0.363615, 0.339021, 0.39878, 0.393813]","[0.338787, 0.362621, 0.339021]"
ES-C-ST001-17FEB15-0065D_assembly,ES-C-ST001-17FEB15-0065D_assembly,10,5,185073,84656,63,45,305,124,"[5272, 24288, 30116, 17503, 21102, 47092, 21611, 12383, 1813, 3893]","[24288, 21102, 5272, 21611, 12383]","[1.348372, 0.78157, 1.139875, 1.23349, 1.347739, 1.178061, 0.688016, 1.471237, 6.737183, 3.047248]","[0.78157, 1.347739, 1.348372, 0.688016, 1.471237]","[0.810129, 0.628294, 0.606521, 0.351197, 0.526443, 0.323452, 0.484799, 0.485747, 0.864313, 0.896224]","[0.628294, 0.526443, 0.718513, 0.484799, 0.485747]","[0.374621, 0.349514, 0.390357, 0.391819, 0.355985, 0.364329, 0.345981, 0.36752, 0.510204, 0.496018]","[0.349514, 0.355985, 0.374621, 0.345981, 0.36752]"
ES-C-ST001-17FEB15-0065I_assembly,ES-C-ST001-17FEB15-0065I_assembly,4,3,272383,131641,30,27,351,264,"[241423, 2761, 24310, 3889]","[110954, 2761, 17926]","[0.941801, 0.621674, 0.507905, 1.302323]","[0.72822, 0.632418, 0.41792]","[0.340386, 0.798986, 0.57536, 0.897146]","[0.785235, 0.778341, 0.475957]","[0.367753, 0.323071, 0.31197, 0.496786]","[0.348433, 0.323071, 0.296776]"
ES-C-ST001-17FEB15-0065J_assembly,ES-C-ST001-17FEB15-0065J_assembly,4,2,48104,40618,11,5,270,113,"[32139, 8479, 5691, 1795]","[32139, 8479]","[0.981265, 0.571, 3.3609, 0.890871]","[0.981265, 0.571]","[0.877345, 0.787357, 0.88842, 0.872981]","[0.875074, 0.700083]","[0.36311, 0.340488, 0.502372, 0.513649]","[0.36311, 0.340488]"
ES-C-ST001-17FEB15-0065K_assembly,ES-C-ST001-17FEB15-0065K_assembly,3,1,41325,33174,10,5,133,74,"[33174, 2460, 5691]",[33174],"[0.994682, 0.79879, 2.588804]",[0.994682],"[0.867999, 0.508537, 0.88842]",[0.859257],"[0.360644, 0.39878, 0.502021]",[0.360644]
ES-C-ST001-17FEB15-0065M_assembly,ES-C-ST001-17FEB15-0065M_assembly,6,3,209265,193765,17,12,293,177,"[6401, 6691, 186699, 2460, 3125, 3889]","[184904, 6401, 2460]","[0.584138, 0.600128, 1.002297, 0.911394, 0.564399, 2.700992]","[0.979495, 0.584138, 0.911394]","[0.87127, 0.81378, 0.325342, 0.75935, 0.48128, 0.897146]","[0.31618, 0.773942, 0.728862]","[0.333854, 0.325512, 0.366301, 0.39878, 0.30304, 0.4973]","[0.36487, 0.333854, 0.39878]"
ES-C-ST001-20OCT14-0053M_assembly,ES-C-ST001-20OCT14-0053M_assembly,5,2,44362,35280,13,6,145,78,"[32820, 2460, 1795, 3928, 3359]","[32820, 2460]","[0.934706, 0.869416, 4.211859, 2.698709, 0.390866]","[0.934706, 0.869416]","[0.882084, 0.74065, 0.872981, 0.888238, 0.924085]","[0.868525, 0.612195]","[0.361792, 0.39878, 0.513649, 0.495672, 0.493004]","[0.361792, 0.39878]"
ES-C-ST001-25AUG14-0039B_assembly,ES-C-ST001-25AUG14-0039B_assembly,2,0,5008,0,3,0,6,0,"[1645, 3363]",[],"[2.083319, 2.118395]",[],"[0.952584, 0.922985]",[],"[0.526444, 0.492715]",[]
ES-C-ST001-25AUG14-0039C_assembly,ES-C-ST001-25AUG14-0039C_assembly,8,6,125306,114914,28,22,267,175,"[20311, 4777, 56573, 7622, 9331, 16424, 5129, 5139]","[20311, 4777, 58942, 16424, 9331, 5129]","[0.444664, 0.429142, 0.902776, 0.491213, 11.80827, 0.576, 14.645219, 2.07189]","[0.444664, 0.429142, 0.892035, 0.576, 11.80827, 14.645219]","[0.711043, 0.816621, 0.788998, 0.556416, 0.745151, 0.564418, 0.503997, 0.908932]","[0.623209, 0.778731, 0.696481, 0.564418, 0.745151, 0.503997]","[0.325833, 0.338497, 0.371555, 0.316584, 0.371664, 0.33378, 0.369468, 0.500097]","[0.325833, 0.338497, 0.366174, 0.33378, 0.371664, 0.369468]"
