,name,num_plasmids_full,num_plasmids_lim,sum_length_full,sum_length_lim,num_contigs_full,num_contigs_lim,num_cds_full,num_cds_lim,lengths_full,lengths_lim,read_depth_full,read_depth_lim,gene_density_full,gene_density_lim,gc_content_full,gc_content_lim
BP-H102-1_assembly,BP-H102-1_assembly,6,4,52716,47123,8,5,113,97,"[4682, 28116, 11501, 2824, 1700, 3893]","[4682, 11501, 28116, 2824]","[0.543847, 0.634157, 0.547343, 0.427171, 5.556237, 3.787002]","[0.543847, 0.547343, 0.634157, 0.427171]","[0.872063, 0.88928, 0.539605, 0.692635, 0.921765, 0.896224]","[0.856685, 0.539605, 0.88928, 0.692635]","[0.393635, 0.364703, 0.360577, 0.379958, 0.52, 0.496789]","[0.393635, 0.360577, 0.364703, 0.379958]"
BP-H136-3_assembly,BP-H136-3_assembly,7,4,60099,53327,9,5,146,53,"[4065, 4749, 5620, 38893, 1815, 3283, 1674]","[4065, 4749, 5620, 38893]","[0.404721, 0.693695, 0.503475, 0.511896, 3.57623, 3.195515, 1.730485]","[0.404721, 0.693695, 0.503475, 0.511896]","[0.748831, 0.519899, 0.475089, 0.749081, 0.863361, 0.922936, 0.78853]","[0.748831, 0.519899, 0.475089, 0.439719]","[0.328659, 0.323015, 0.346441, 0.36873, 0.510193, 0.493147, 0.442055]","[0.328659, 0.323015, 0.346441, 0.36873]"
BP-H22-1_assembly,BP-H22-1_assembly,4,2,64071,55355,24,17,253,116,"[49806, 9112, 1755, 3398]","[42228, 13127]","[0.856511, 0.882098, 2.726456, 2.05239]","[0.951777, 0.696373]","[0.808477, 0.653644, 0.892877, 0.913479]","[0.773563, 0.75737]","[0.355258, 0.359306, 0.516239, 0.49176]","[0.355546, 0.353241]"
BP-H4-1_assembly,BP-H4-1_assembly,6,4,69287,50074,9,4,190,93,"[29571, 6051, 9331, 5121, 13522, 5691]","[29571, 6051, 9331, 5121]","[0.587702, 0.468363, 5.818331, 5.522097, 1.988725, 1.605123]","[0.587702, 0.468363, 5.818331, 5.522097]","[0.818133, 0.799207, 0.745151, 0.703964, 0.606567, 0.88842]","[0.769808, 0.775409, 0.745151, 0.703964]","[0.364918, 0.381425, 0.371664, 0.368287, 0.353498, 0.501845]","[0.364918, 0.381425, 0.371664, 0.368287]"
BP-H44-3_assembly,BP-H44-3_assembly,7,4,77903,58255,39,35,136,94,"[5165, 38773, 5143, 14473, 9174, 1812, 3363]","[5165, 38773, 9174, 5143]","[0.432764, 0.708158, 5.552452, 0.499631, 0.468525, 3.176074, 1.699422]","[0.432764, 0.708158, 0.468525, 5.552452]","[0.813746, 0.605396, 0.700953, 0.551717, 0.41465, 0.86479, 0.922985]","[0.813746, 0.59054, 0.41465, 0.700953]","[0.335721, 0.356872, 0.368073, 0.35314, 0.369523, 0.509934, 0.492417]","[0.335721, 0.356872, 0.369523, 0.368073]"
BP-H53-2_assembly,BP-H53-2_assembly,11,7,93688,82062,24,20,235,146,"[16443, 9226, 1797, 27740, 20958, 4612, 2738, 2591, 3893, 2012, 1678]","[1797, 11664, 11069, 6096, 27740, 20958, 2738]","[0.834905, 0.692882, 0.512319, 0.457855, 0.523332, 0.643027, 0.404219, 0.774945, 3.830826, 3.972604, 2.161539]","[0.512319, 0.706917, 0.68899, 1.061418, 0.457855, 0.523332, 0.404219]","[0.69227, 0.821049, 0.649416, 0.811896, 0.743964, 0.753036, 0.636961, 0.468931, 0.896224, 0.778827, 0.786651]","[0.649416, 0.607425, 0.618394, 0.895505, 0.811896, 0.743964, 0.636961]","[0.359788, 0.35465, 0.314969, 0.366042, 0.377135, 0.366435, 0.372169, 0.36318, 0.496532, 0.489563, 0.38081]","[0.314969, 0.351766, 0.351071, 0.383858, 0.366042, 0.377135, 0.372169]"
BP-H74-1_assembly,BP-H74-1_assembly,2,0,5667,0,3,0,11,0,"[1774, 3893]",[],"[6.256741, 4.267378]",[],"[0.883315, 0.896224]",[],"[0.514092, 0.496532]",[]
BP-H96E-2_assembly,BP-H96E-2_assembly,5,2,77772,68966,6,2,253,101,"[16502, 52464, 3120, 3893, 1793]","[16502, 52464]","[0.571432, 0.792293, 2.828135, 2.309583, 3.038694]","[0.571432, 0.792293]","[0.821173, 0.698994, 0.583333, 0.896224, 0.873954]","[0.803115, 0.580608]","[0.340383, 0.367033, 0.327244, 0.496532, 0.513664]","[0.340383, 0.367033]"
BP-R19-2_assembly,BP-R19-2_assembly,2,2,10493,61189,6,4,16,111,"[5813, 4680]","[56509, 4680]","[3.56922, 3.024761]","[0.623303, 3.024761]","[0.882333, 0.588675]","[0.745403, 0.588675]","[0.501978, 0.389316]","[0.353731, 0.389316]"
BP-R20-1_assembly,BP-R20-1_assembly,7,5,112834,106003,25,24,305,97,"[7558, 15220, 42589, 19941, 13051, 9331, 5144]","[19941, 9331, 55640, 5144, 15947]","[3.183992, 0.495329, 0.930119, 0.89888, 0.867573, 10.346067, 18.033634]","[0.900152, 10.346067, 0.911014, 18.033634, 0.497005]","[0.68841, 0.848949, 0.62812, 0.556692, 0.790514, 0.745151, 0.700816]","[0.539241, 0.745151, 0.357333, 0.700816, 0.456888]","[0.472215, 0.333509, 0.374557, 0.379018, 0.371159, 0.371664, 0.368585]","[0.379018, 0.371664, 0.37376, 0.368585, 0.335235]"
BP-R26E-1_assembly,BP-R26E-1_assembly,9,5,120240,105966,14,7,405,167,"[9565, 29885, 7243, 56406, 4215, 2867, 4261, 3893, 1905]","[7243, 9565, 2867, 56406, 29885]","[0.684079, 0.598556, 0.636657, 0.79131, 0.511659, 0.534762, 0.589479, 6.615778, 7.843835]","[0.636657, 0.684079, 0.534762, 0.79131, 0.598556]","[0.903921, 0.733211, 0.767638, 0.836844, 0.390273, 0.734217, 0.659, 0.896224, 0.822572]","[0.767638, 0.894093, 0.734217, 0.760983, 0.54703]","[0.391427, 0.369483, 0.339638, 0.370528, 0.35089, 0.363446, 0.380427, 0.497046, 0.500262]","[0.339638, 0.391427, 0.363446, 0.370528, 0.369483]"
